0	24607.000000
9234	24094.000000
0	27500.000000
0	22145.000000
6975	19288.000000
0	21669.000000
1089	6879.000000
0	33750.000000
9234	19289.000000
0	10628.000000
0	18129.000000
0	55001.000000
4617	15000.000000
0	28335.000000
7173	28097.000000
8559	21250.000000
9945	19290.000000
0	13000.000000
0	15004.000000
0	15001.000000
0	65000.000000
5796	52537.000000
10449	19168.000000
0	40001.000000
0	15004.000000
0	52375.000000
2358	40001.000000
0	40000.000000
9234	25004.000000
0	38337.000000
0	19289.000000
0	18750.000000
