0	552000.000000
99	511334.000000
0	578000.000000
99	514000.000000
0	644872.000000
99	516334.000000
0	578500.000000
99	578006.000000
0	674000.000000
99	511334.000000
0	547000.000000
99	529890.000000
0	587000.000000
99	522000.000000
198	505000.000000
0	579800.000000
99	504668.000000
0	629000.000000
99	500000.000000
0	573200.000000
99	530000.000000
0	620000.000000
99	507000.000000
0	629200.000000
99	543334.000000
0	627336.000000
99	505000.000000
0	530000.000000
0	586004.000000
99	497500.000000
198	160548.000000
0	594000.000000
99	514422.000000
0	550000.000000
99	483500.000000
0	579430.000000
99	543848.000000
198	522000.000000
0	581000.000000
99	506000.000000
0	588668.000000
99	515000.000000
